scenario,time,state,obs,action,value,rep,method
1,65,33,33,10,0.006481442227374586,2,POMDP
1,66,32,32,9,0.0054732178808940945,2,POMDP
1,67,34,34,11,0.006499446233561737,2,POMDP
1,68,33,33,10,0.005557026529695285,2,POMDP
1,69,34,34,11,0.005865750225789467,2,POMDP
1,70,34,34,11,0.005572462714499993,2,POMDP
1,71,34,34,11,0.005293839578774994,2,POMDP
1,72,32,32,9,0.004023318079868995,2,POMDP
1,73,35,35,12,0.005255459241828874,2,POMDP
1,74,33,33,10,0.004084925137966988,2,POMDP
1,75,31,31,8,0.003018305796386719,2,POMDP
1,76,35,35,12,0.00450589936746303,2,POMDP
1,77,33,33,10,0.0035023126901644456,2,POMDP
1,78,34,34,11,0.003696885617395804,2,POMDP
1,79,33,33,10,0.003160837202873412,2,POMDP
1,80,33,33,10,0.0030027953427297417,2,POMDP
1,81,34,34,11,0.003169617306214727,2,POMDP
1,82,32,32,9,0.0024089091527231925,2,POMDP
1,83,33,33,10,0.002574521656972912,2,POMDP
1,84,34,34,11,0.0027175506379158517,2,POMDP
1,85,34,34,11,0.0025816731060200587,2,POMDP
1,86,32,32,9,0.0019620715605752443,2,POMDP
1,87,33,33,10,0.0020969639803647923,2,POMDP
1,88,34,34,11,0.0022134619792739474,2,POMDP
1,89,33,33,10,0.001892509992279225,2,POMDP
1,90,33,33,10,0.0017978844926652636,2,POMDP
1,91,32,32,9,0.0015182135715840002,2,POMDP
1,92,33,33,10,0.0016225907546304004,2,POMDP
1,93,33,33,10,0.0015414612168988802,2,POMDP
1,94,32,32,9,0.0013016783609368322,2,POMDP
1,95,33,33,10,0.001391168748251239,2,POMDP
1,96,35,35,12,0.00161530149102505,2,POMDP
1,97,34,34,11,0.0013950331058852706,2,POMDP
1,98,33,33,10,0.001192753305531906,2,POMDP
1,99,33,33,10,0.0011331156402553107,2,POMDP
1,1,9,9,1,0,3,POMDP
1,2,15,15,1,0,3,POMDP
1,3,23,23,1,0,3,POMDP
1,4,32,32,9,0.13163737373737372,3,POMDP
1,5,33,33,10,0.14068744318181814,3,POMDP
1,6,33,33,10,0.13365307102272725,3,POMDP
1,7,35,35,12,0.15518606579861105,3,POMDP
1,8,34,34,11,0.13402432955334592,3,POMDP
1,9,35,35,12,0.14005542438324647,3,POMDP
1,10,33,33,10,0.10886126167970521,3,POMDP
1,11,34,34,11,0.11490910955079994,3,POMDP
1,12,31,31,8,0.07641455785128197,3,POMDP
1,13,34,34,11,0.10370547136959694,3,POMDP
1,14,33,33,10,0.08866817802100538,3,POMDP
1,15,33,33,10,0.0842347691199551,3,POMDP
1,16,32,32,9,0.07113158281240653,3,POMDP
1,17,34,34,11,0.08446875458973276,3,POMDP
1,18,34,34,11,0.08024531686024611,3,POMDP
1,19,35,35,12,0.08385635611895717,3,POMDP
1,20,34,34,11,0.0724213984663721,3,POMDP
1,21,33,33,10,0.06192029568874815,3,POMDP
1,22,33,33,10,0.05882428090431073,3,POMDP
1,23,33,33,10,0.0558830668590952,3,POMDP
1,24,33,33,10,0.05308891351614044,3,POMDP
1,25,33,33,10,0.05043446784033341,3,POMDP
1,26,33,33,10,0.04791274444831674,3,POMDP
1,27,32,32,9,0.040459650867467466,3,POMDP
1,28,32,32,9,0.03843666832409409,3,POMDP
1,29,32,32,9,0.036514834907889385,3,POMDP
1,30,33,33,10,0.039025229807806774,3,POMDP
1,31,34,34,11,0.041193298130462706,3,POMDP
1,32,34,34,11,0.039133633223939576,3,POMDP
1,33,33,33,10,0.03345925640646833,3,POMDP
1,34,32,32,9,0.02825448318768437,3,POMDP
1,35,34,34,11,0.03355219878537519,3,POMDP
1,36,33,33,10,0.02868712996149578,3,POMDP
1,37,33,33,10,0.027252773463420994,3,POMDP
1,38,34,34,11,0.028766816433611047,3,POMDP
1,39,32,32,9,0.021862780489544393,3,POMDP
1,40,33,33,10,0.02336584664820057,3,POMDP
1,41,33,33,10,0.022197554315790537,3,POMDP
1,42,34,34,11,0.023430751777778903,3,POMDP
1,43,33,33,10,0.02003329277000096,3,POMDP
1,44,33,33,10,0.019031628131500913,3,POMDP
1,45,33,33,10,0.018080046724925865,3,POMDP
1,46,32,32,9,0.015267595012159619,3,POMDP
1,47,33,33,10,0.016317242169245592,3,POMDP
1,48,32,32,9,0.013779004498474053,3,POMDP
1,49,34,34,11,0.01636256784193794,3,POMDP
1,50,33,33,10,0.013989995504856937,3,POMDP
1,51,34,34,11,0.01476721747734899,3,POMDP
1,52,35,35,12,0.015431742263829692,3,POMDP
1,53,32,32,9,0.01066193101864597,3,POMDP
1,54,33,33,10,0.011394938776177877,3,POMDP
1,55,31,31,8,0.00841959365128699,3,POMDP
1,56,34,34,11,0.011426591383889483,3,POMDP
1,57,33,33,10,0.009769735633225507,3,POMDP
1,58,34,34,11,0.010312498723960258,3,POMDP
1,59,33,33,10,0.00881718640898602,3,POMDP
1,60,33,33,10,0.008376327088536717,3,POMDP
1,61,33,33,10,0.007957510734109881,3,POMDP
1,62,34,34,11,0.008399594663782654,3,POMDP
1,63,34,34,11,0.00797961493059352,3,POMDP
1,64,33,33,10,0.0068225707656574585,3,POMDP
1,65,33,33,10,0.006481442227374586,3,POMDP
1,66,32,32,9,0.0054732178808940945,3,POMDP
1,67,34,34,11,0.006499446233561737,3,POMDP
1,68,34,34,11,0.00617447392188365,3,POMDP
1,69,33,33,10,0.00527917520321052,3,POMDP
1,70,33,33,10,0.005015216443049994,3,POMDP
1,71,34,34,11,0.005293839578774994,3,POMDP
1,72,35,35,12,0.005532062359819867,3,POMDP
