time,method,mean,sd
19,MSY,0.321010101010101,0.34195947799200566
19,TAC,0.45292929292929296,0.38014407422640417
20,CE,0.548888888888889,0.2709633198536135
20,MSY,0.31838383838383844,0.34163654355759304
20,TAC,0.4541414141414142,0.38308562792781226
21,CE,0.5365656565656566,0.25948090176394734
21,MSY,0.33252525252525256,0.3648295222930524
21,TAC,0.4602020202020202,0.38424714700880563
22,CE,0.5492929292929294,0.26461530849034115
22,MSY,0.3395959595959596,0.3723042147651372
22,TAC,0.46,0.3904125043481578
23,CE,0.5456565656565657,0.26658340613353526
23,MSY,0.3204040404040404,0.35341458721219354
23,TAC,0.45252525252525255,0.3801854976399007
24,CE,0.558989898989899,0.27306987969246693
24,MSY,0.314949494949495,0.35784358796178056
24,TAC,0.454949494949495,0.3924517023495338
25,CE,0.5537373737373738,0.27408009054297966
25,MSY,0.3175757575757576,0.36094047667273316
25,TAC,0.4555555555555556,0.3859363561729417
26,CE,0.5395959595959596,0.26769141730197477
26,MSY,0.30060606060606065,0.34695471510751064
26,TAC,0.4450505050505051,0.3767156048379482
27,CE,0.5422222222222223,0.25993170835201085
27,MSY,0.29111111111111115,0.3416121075276966
27,TAC,0.4654545454545455,0.3932328669310878
28,CE,0.574949494949495,0.2774782219467116
28,MSY,0.27111111111111114,0.3142982754324602
28,TAC,0.4648484848484849,0.38803621222966816
29,CE,0.5606060606060607,0.2757786724464252
29,MSY,0.28545454545454546,0.33462051240834406
29,TAC,0.4662626262626263,0.400388351506237
30,CE,0.5397979797979798,0.26584917036329464
30,MSY,0.28525252525252526,0.34289111204804434
30,TAC,0.4886868686868687,0.4189248463589428
31,CE,0.5256565656565657,0.253463901858725
31,MSY,0.273939393939394,0.3369368009571424
31,TAC,0.47252525252525257,0.3983674283281785
32,CE,0.5555555555555556,0.267340144441118
32,MSY,0.26646464646464646,0.3405436602110357
32,TAC,0.473939393939394,0.4068610856844884
33,CE,0.5406060606060606,0.26744220673531427
33,MSY,0.27191919191919195,0.3316103792730242
33,TAC,0.4648484848484849,0.39850814086710695
34,CE,0.5519191919191919,0.2633689357025643
34,MSY,0.2781818181818182,0.3457832730216254
34,TAC,0.4638383838383839,0.3933481680753449
35,CE,0.5537373737373738,0.27006481168329904
35,MSY,0.2652525252525253,0.3294806618006187
35,TAC,0.454949494949495,0.4054203554391613
36,CE,0.5432323232323233,0.2521416533458262
36,MSY,0.26343434343434347,0.3296716011614457
36,TAC,0.4747474747474748,0.419512946186465
37,CE,0.5575757575757576,0.2696661868573392
37,MSY,0.2604040404040404,0.3387862537201058
37,TAC,0.46161616161616165,0.4025006370974066
38,CE,0.5595959595959596,0.2791088679692546
38,MSY,0.2507070707070707,0.3240105797657219
38,TAC,0.4268686868686869,0.3781922194717432
39,CE,0.513939393939394,0.2684146241104808
39,MSY,0.2567676767676768,0.3341969377564758
39,TAC,0.4254545454545455,0.37700400955654034
40,CE,0.535959595959596,0.2770326800019094
40,MSY,0.261010101010101,0.33802835742698684
40,TAC,0.4264646464646465,0.37793313759347247
41,CE,0.5195959595959596,0.2734323361756934
41,MSY,0.24080808080808083,0.3167220096639592
41,TAC,0.46101010101010104,0.41901030260631267
42,CE,0.5121212121212122,0.2684615401663498
42,MSY,0.24020202020202022,0.3176346104256125
42,TAC,0.4781818181818182,0.427644903796761
43,CE,0.5583838383838384,0.29709550781946537
43,MSY,0.2458585858585859,0.3372270749731096
43,TAC,0.4585858585858586,0.41709844895405257
44,CE,0.5525252525252525,0.29045604907296346
44,MSY,0.2464646464646465,0.3282565347793167
44,TAC,0.43878787878787884,0.39760283203942554
45,CE,0.5381818181818182,0.29091192507320346
45,MSY,0.2391919191919192,0.32976912330575187
45,TAC,0.43474747474747477,0.4024607422488283
46,CE,0.5335353535353535,0.29909487536308227
46,MSY,0.23474747474747476,0.3343878962992699
46,TAC,0.436969696969697,0.3969654521706086
47,CE,0.5355555555555556,0.2812862623285978
47,MSY,0.23171717171717174,0.32932798081809855
47,TAC,0.412929292929293,0.3944617049723856
48,CE,0.5284848484848486,0.27520023672385985
48,MSY,0.22222222222222224,0.31837488858597035
48,TAC,0.42121212121212126,0.4020804928542545
49,CE,0.5375757575757576,0.271082571506973
49,MSY,0.21656565656565657,0.3154490941480022
49,TAC,0.40989898989898993,0.39086037956059316
50,CE,0.5117171717171718,0.2627918920786644
50,MSY,0.21939393939393942,0.31642693058145244
50,TAC,0.39353535353535357,0.3700917782391758
51,CE,0.5117171717171718,0.26937641518796857
51,MSY,0.1993939393939394,0.29950202529738096
51,TAC,0.4064646464646465,0.39282757722010386
52,CE,0.5462626262626263,0.28768291236362803
52,MSY,0.19353535353535356,0.30287626598870465
52,TAC,0.4062626262626263,0.3971340668942669
53,CE,0.530909090909091,0.2722538185803265
53,MSY,0.20545454545454547,0.3240991209080796
53,TAC,0.3860606060606061,0.3908139695979355
54,CE,0.5365656565656566,0.28361893363332435
54,MSY,0.19212121212121214,0.29520201692901754
54,TAC,0.3967676767676768,0.38987007140087615
55,CE,0.5038383838383839,0.27156763136958495
55,MSY,0.18727272727272729,0.29953230526257163
55,TAC,0.381010101010101,0.37805446802648135
56,CE,0.5286868686868688,0.2831495689963817
56,MSY,0.18383838383838386,0.3017351501549327
56,TAC,0.39111111111111113,0.38953156017860646
57,CE,0.5442424242424243,0.2864608501601046
57,MSY,0.16565656565656567,0.2657703847050489
57,TAC,0.39151515151515154,0.4002658091011515
58,CE,0.5339393939393939,0.2783953769098247
58,MSY,0.16202020202020204,0.2541785284381799
58,TAC,0.39191919191919194,0.3890495204754533
59,CE,0.531919191919192,0.2690854888625496
59,MSY,0.17393939393939395,0.27320330149033123
59,TAC,0.39696969696969703,0.38962526201256004
60,CE,0.5393939393939394,0.28226655777959175
60,MSY,0.18404040404040406,0.2960303645629133
60,TAC,0.3858585858585859,0.37638766121057277
61,CE,0.5252525252525253,0.2726762527525064
61,MSY,0.1973737373737374,0.31854129658518987
61,TAC,0.38161616161616163,0.3800542176171274
62,CE,0.5347474747474747,0.2845496177684274
