year,stock,commonname,model
1990,383408,European Plaice,biomass
1991,346304,European Plaice,biomass
1992,284464,European Plaice,biomass
1993,247360,European Plaice,biomass
1994,222624,European Plaice,biomass
1995,222624,European Plaice,biomass
1996,185520,European Plaice,biomass
1997,210256,European Plaice,biomass
1998,222624,European Plaice,biomass
1999,197888,European Plaice,biomass
2e3,234992.00000000003,European Plaice,biomass
2001,272096,European Plaice,biomass
2002,197888,European Plaice,biomass
2003,234992.00000000003,European Plaice,biomass
2004,210256,European Plaice,biomass
2005,247360,European Plaice,biomass
2006,259727.99999999997,European Plaice,biomass
2007,259727.99999999997,European Plaice,biomass
2008,358672,European Plaice,biomass
2009,383408,European Plaice,biomass
2010,457616,European Plaice,biomass
1986,193711.40939597314,Argentine hake,catch
1987,193711.40939597314,Argentine hake,catch
1988,116226.84563758389,Argentine hake,catch
1989,142055.033557047,Argentine hake,catch
1990,142055.033557047,Argentine hake,catch
1991,219539.59731543626,Argentine hake,catch
1992,206625.50335570468,Argentine hake,catch
1993,154969.1275167785,Argentine hake,catch
1994,142055.033557047,Argentine hake,catch
1995,180797.31543624162,Argentine hake,catch
1996,167883.22147651005,Argentine hake,catch
1999,51656.37583892617,Argentine hake,catch
2e3,51656.37583892617,Argentine hake,catch
2006,51656.37583892617,Argentine hake,catch
2007,51656.37583892617,Argentine hake,catch
1957,74208,European Plaice,catch
1958,86576,European Plaice,catch
1959,111312,European Plaice,catch
1960,111312,European Plaice,catch
1961,123680,European Plaice,catch
1962,123680,European Plaice,catch
1963,148416,European Plaice,catch
1964,148416,European Plaice,catch
1965,136048,European Plaice,catch
1966,160784,European Plaice,catch
1967,160784,European Plaice,catch
1968,136048,European Plaice,catch
1969,148416,European Plaice,catch
1970,160784,European Plaice,catch
1971,136048,European Plaice,catch
1972,148416,European Plaice,catch
1973,148416,European Plaice,catch
1974,160784,European Plaice,catch
1975,197888,European Plaice,catch
1976,160784,European Plaice,catch
1977,173152,European Plaice,catch
1978,160784,European Plaice,catch
1979,210256,European Plaice,catch
1980,173152,European Plaice,catch
1981,173152,European Plaice,catch
1982,197888,European Plaice,catch
1983,222624,European Plaice,catch
1984,222624,European Plaice,catch
1985,222624,European Plaice,catch
1986,296832,European Plaice,catch
1987,346304,European Plaice,catch
1988,309200,European Plaice,catch
1989,272096,European Plaice,catch
1990,222624,European Plaice,catch
1991,234992.00000000003,European Plaice,catch
1992,185520,European Plaice,catch
1993,148416,European Plaice,catch
1994,136048,European Plaice,catch
1995,123680,European Plaice,catch
1996,136048,European Plaice,catch
1997,185520,European Plaice,catch
1998,173152,European Plaice,catch
1999,148416,European Plaice,catch
2e3,123680,European Plaice,catch
2001,185520,European Plaice,catch
2002,123680,European Plaice,catch
2003,148416,European Plaice,catch
2004,111312,European Plaice,catch
2005,111312,European Plaice,catch
2006,123680,European Plaice,catch
2007,86576,European Plaice,catch
2008,98944,European Plaice,catch
2009,98944,European Plaice,catch
2010,111312,European Plaice,catch
1986,284110.067114094,Argentine hake,CE
1987,232453.69127516777,Argentine hake,CE
1988,77484.56375838925,Argentine hake,CE
1989,103312.75167785234,Argentine hake,CE
1990,129140.93959731543,Argentine hake,CE
1991,154969.1275167785,Argentine hake,CE
1992,90398.65771812081,Argentine hake,CE
1993,0,Argentine hake,CE
1994,12914.093959731543,Argentine hake,CE
1995,77484.56375838925,Argentine hake,CE
1996,51656.37583892617,Argentine hake,CE
1999,0,Argentine hake,CE
2e3,0,Argentine hake,CE
2006,0,Argentine hake,CE
2007,0,Argentine hake,CE
1957,49472,European Plaice,CE
1958,61840,European Plaice,CE
1959,86576,European Plaice,CE
1960,98944,European Plaice,CE
1961,111312,European Plaice,CE
1962,173152,European Plaice,CE
1963,173152,European Plaice,CE
1964,160784,European Plaice,CE
1965,136048,European Plaice,CE
1966,160784,European Plaice,CE
1967,210256,European Plaice,CE
1968,197888,European Plaice,CE
1969,173152,European Plaice,CE
1970,123680,European Plaice,CE
1971,98944,European Plaice,CE
1972,111312,European Plaice,CE
1973,49472,European Plaice,CE
1974,61840,European Plaice,CE
1975,86576,European Plaice,CE
1976,98944,European Plaice,CE
1977,98944,European Plaice,CE
1978,86576,European Plaice,CE
1979,86576,European Plaice,CE
1980,49472,European Plaice,CE
1981,37104,European Plaice,CE
1982,37104,European Plaice,CE
1983,98944,European Plaice,CE
1984,111312,European Plaice,CE
1985,136048,European Plaice,CE
1986,173152,European Plaice,CE
1987,247360,European Plaice,CE
1988,197888,European Plaice,CE
1989,222624,European Plaice,CE
1990,185520,European Plaice,CE
1991,136048,European Plaice,CE
1992,61840,European Plaice,CE
1993,12368,European Plaice,CE
1994,0,European Plaice,CE
1995,0,European Plaice,CE
1996,0,European Plaice,CE
1997,0,European Plaice,CE
1998,0,European Plaice,CE
1999,0,European Plaice,CE
2e3,0,European Plaice,CE
2001,49472,European Plaice,CE
2002,0,European Plaice,CE
2003,0,European Plaice,CE
2004,0,European Plaice,CE
2005,12368,European Plaice,CE
2006,37104,European Plaice,CE
2007,37104,European Plaice,CE
2008,160784,European Plaice,CE
2009,185520,European Plaice,CE
2010,259727.99999999997,European Plaice,CE
1986,258281.87919463086,Argentine hake,MSY
1987,206625.50335570468,Argentine hake,MSY
1988,116226.84563758389,Argentine hake,MSY
1989,129140.93959731543,Argentine hake,MSY
1990,142055.033557047,Argentine hake,MSY
1991,154969.1275167785,Argentine hake,MSY
1992,116226.84563758389,Argentine hake,MSY
1993,90398.65771812081,Argentine hake,MSY
1994,90398.65771812081,Argentine hake,MSY
1995,116226.84563758389,Argentine hake,MSY
1996,103312.75167785234,Argentine hake,MSY
1999,38742.28187919463,Argentine hake,MSY
2e3,38742.28187919463,Argentine hake,MSY
2006,38742.28187919463,Argentine hake,MSY
2007,38742.28187919463,Argentine hake,MSY
1957,136048,European Plaice,MSY
1958,136048,European Plaice,MSY
1959,136048,European Plaice,MSY
1960,148416,European Plaice,MSY
1961,148416,European Plaice,MSY
1962,173152,European Plaice,MSY
1963,173152,European Plaice,MSY
1964,173152,European Plaice,MSY
1965,160784,European Plaice,MSY
1966,173152,European Plaice,MSY
1967,197888,European Plaice,MSY
1968,185520,European Plaice,MSY
1969,173152,European Plaice,MSY
1970,160784,European Plaice,MSY
1971,148416,European Plaice,MSY
1972,148416,European Plaice,MSY
1973,136048,European Plaice,MSY
1974,136048,European Plaice,MSY
1975,136048,European Plaice,MSY
1976,148416,European Plaice,MSY
1977,148416,European Plaice,MSY
1978,136048,European Plaice,MSY
1979,136048,European Plaice,MSY
1980,136048,European Plaice,MSY
1981,123680,European Plaice,MSY
1982,123680,European Plaice,MSY
1983,148416,European Plaice,MSY
1984,148416,European Plaice,MSY
1985,160784,European Plaice,MSY
1986,173152,European Plaice,MSY
1987,210256,European Plaice,MSY
1988,185520,European Plaice,MSY
1989,197888,European Plaice,MSY
1990,185520,European Plaice,MSY
1991,160784,European Plaice,MSY
1992,136048,European Plaice,MSY
1993,123680,European Plaice,MSY
1994,111312,European Plaice,MSY
1995,111312,European Plaice,MSY
1996,86576,European Plaice,MSY
1997,98944,European Plaice,MSY
1998,111312,European Plaice,MSY
1999,98944,European Plaice,MSY
2e3,111312,European Plaice,MSY
